price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
269000.0,1,51.0,2,4,0,1,0,2,1,1968.0,1,0,2,2,0,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,184.0,0,0,2,0,0,2,2,0,2,32.0,2,1,2,2,2,2,27,0,30,18,800.0,1,0,2600,0,0,0,1,1,1,0,1,1
299000.0,13,79.0,4,1,0,1,0,2,1,2011.0,2,0,2,2,0,2,1,2,2,2,0,200.0,1,5.0,1,405.0,2,1,100.0,2,0,2,1,0,2,2,0,0,22.0,2,1,1,2,2,2,11,0,30,0,800.0,1,0,2050,0,0,0,1,0,1,0,0,1
359000.0,20,110.0,2,4,0,1,0,2,1,2011.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,232.0,0,0,2,2,0,2,2,0,0,32.0,2,1,0,2,2,2,11,0,30,0,800.0,1,0,2610,0,0,1,1,1,1,1,1,1
239000.0,13,84.0,4,1,0,1,0,2,1,1963.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,163.0,1,0,2,1,0,2,2,0,0,32.0,2,1,1,2,2,2,21,0,30,18,800.0,1,0,2060,0,0,0,1,1,1,0,1,1
189000.0,13,80.0,4,1,0,0,0,2,1,1930.0,2,1,2,2,19,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,149.0,2,0,2,0,0,2,2,0,0,32.0,2,1,0,2,2,2,1,0,30,18,800.0,1,0,2610,0,0,0,1,1,1,0,1,1
269000.0,13,96.0,4,4,0,1,0,2,1,1974.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,10.0,1,405.0,2,1,113.0,2,0,2,2,0,2,2,0,0,37.0,2,1,0,2,2,2,27,0,30,0,800.0,1,0,2018,0,0,0,1,0,1,0,0,1
224000.0,13,86.0,4,1,0,1,0,2,1,1977.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,155.0,1,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,1,0,20,0,949.0,1,0,2100,0,0,0,1,1,1,0,1,0
217000.0,13,78.0,4,1,0,1,0,2,1,2017.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,9.0,1,405.0,2,2,48.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,27,0,30,0,800.0,1,0,2140,0,0,0,1,0,1,0,1,1
269000.0,13,96.0,4,4,0,1,0,2,1,1974.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,10.0,1,405.0,2,1,113.0,2,0,2,2,0,2,2,0,0,37.0,2,1,0,2,2,2,27,0,30,0,800.0,1,0,2140,0,0,0,1,0,1,0,0,1
269000.0,20,119.0,2,4,2,1,0,2,1,1974.0,2,1,2,2,0,2,6,2,0,0,0,200.0,1,14.0,1,405.0,2,2,217.0,0,0,2,2,0,0,2,0,0,32.0,2,1,1,2,2,0,27,0,30,0,800.0,1,0,2100,0,0,0,1,1,1,0,1,1
