Begin to work...
GRID PARAMS:
TREES_NUMBER_SET = [300, 800, 1200, 1500, 2000]
MAX_DEPTH_SET = [3, 5]
LEARNING_RATE_SET = [0.05]
SUBSAMPLE_SET = [0.9]



Timer: 601 sec

{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1500, 'subsample': 0.9}
Best R2: 0.8063183071782005
Train R2: 0.7928, Test R2: 0.7437, Params: {'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}
Train R2: 0.8530, Test R2: 0.7738, Params: {'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 800, 'subsample': 0.9}
Train R2: 0.8752, Test R2: 0.7806, Params: {'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1200, 'subsample': 0.9}
Train R2: 0.8869, Test R2: 0.7852, Params: {'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1500, 'subsample': 0.9}
Train R2: 0.9013, Test R2: 0.7895, Params: {'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 2000, 'subsample': 0.9}
Train R2: 0.8884, Test R2: 0.7852, Params: {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.9}
Train R2: 0.9407, Test R2: 0.8015, Params: {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.9}
Train R2: 0.9579, Test R2: 0.8043, Params: {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1200, 'subsample': 0.9}
Train R2: 0.9658, Test R2: 0.8063, Params: {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1500, 'subsample': 0.9}
Train R2: 0.9749, Test R2: 0.8057, Params: {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 2000, 'subsample': 0.9}

Task completed!


